Row,Author,Paper,Location,Country,Mult.country,Habitat type,Moment,Species English,Species scientific,Host taxonomic class,Sampling method,Hosts studied,Host infested,Infestation prevalence,Total ticks,Mean abundance,Stages,Larvae on hosts,Mean larval abundance,Host infested with larvae,Nymphs on hosts,Mean nymphal abundance,Host infested with nymphs,Adults on hosts,Mean adult abundance,Host infested with adults,"Any SD, SE or CI given",Note on confidence,Same animals AH/AF,Same reference,Multiple species,Notes,Birds,HD
0001,"Adamska & Skotarczak, (2007)",001,Near Szczecin,Poland,No,Forested areas,April & May 2003,European roe deer,Capreolus capreolus,Mammal,Hunting,43,35,0.81,155,3.60,No,NA,NA,NA,NA,NA,NA,155,3.60,NA,No,NA,AH,"Adamska & Skotarczak, (2007)",No,,No birds,No
0002,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,Bottomlands and uplands,May - August 2005,Common wall lizard,Podarcis muralis,Reptile,Scientific capturing,97,NA,NA,452,4.66,Yes,409,4.22,72,43,0.44,26,0,0.00,0,Yes,"Mean larval abundance 95% CI: 3.3-5.5; Mean nymphal abundance 95% CI: 0.29-0.67; Larval prevalence of infestation 95% CI: 64.3-82.6%, Nymphal prevalence of infestation 95% CI: 18.3-36.7%",No,NA,No,,No birds,Yes
0003,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,Bottomlands  ,May - August 2005,Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,53,NA,NA,190,3.58,Yes,187,3.53,42,3,0.06,3,0,0.00,0,Yes,"Mean larval abundance 95% CI: 2.6-4.7; Larval prevalence of infestation 95% CI: 65.9-89.2%, Nymphal prevalence of infestation 95% CI: 1.2-15.7%",No,NA,Half,,No birds,Yes
0004,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Common blackbird,Turdus merula,Bird,Scientific capturing,2,NA,NA,8,4.00,Yes,1,0.50,NA,7,3.50,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0005,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Dunnock,Prunella modularis,Bird,Scientific capturing,2,NA,NA,3,1.50,Yes,0,0.00,NA,3,1.50,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0006,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,House sparrow,Passer domesticus,Bird,Scientific capturing,11,NA,NA,3,0.27,Yes,0,0.00,NA,3,0.27,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0007,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,European robin,Erithacus rubecula,Bird,Scientific capturing,3,NA,NA,1,0.33,Yes,0,0.00,NA,1,0.33,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0008,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0009,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,European green woodpecker,Picus viridis,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0010,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0011,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Sardinian warbler,Sylvia melanocephala,Bird,Scientific capturing,2,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0012,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0013,"Amore et al., (2007)",006,"Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,No,Additional information obtained from author,Migratory birds included,Yes
0014,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Marsh warbler,Acrocephalus palustris,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
0015,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
0016,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Common kingfisher,Alcedo atthis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
0017,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Tree pipit,Anthus trivialis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
0018,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,15,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
0019,"Berthova et al., (2016)",010,"Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",European greenfinch,Carduelis chloris,Bird,Scientific capturing,26,2,0.08,2,0.08,Yes,0,0.00,NA,2,0.08,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,No
